geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
es13	548.1 	542.4 	537.3 	533.9 	532.0 	530.3 	529.1 	528.6 	528.7 	528.9 
es21	2099.2 	2091.4 	2085.1 	2079.4 	2073.4 	2070.0 	2070.9 	2073.5 	2077.0 	2082.0 
es22	576.8 	568.8 	560.2 	553.6 	549.1 	544.6 	540.9 	537.9 	535.3 	532.4 
es23	291.4 	285.2 	279.4 	273.8 	269.5 	266.6 	264.7 	263.9 	263.5 	263.3 
es24	1236.2 	1222.5 	1209.9 	1201.0 	1197.2 	1195.8 	1195.6 	1195.8 	1196.0 	1196.1 
es30	5763.3 	5639.5 	5499.8 	5350.2 	5230.1 	5157.2 	5112.1 	5085.4 	5065.2 	5047.4 
es41	2465.7 	2460.4 	2456.6 	2456.6 	2461.5 	2469.7 	2480.8 	2491.7 	2501.9 	2511.5 
es42	1839.9 	1806.7 	1775.3 	1750.3 	1734.6 	1724.1 	1716.2 	1709.8 	1704.2 	1697.2 
es43	1067.5 	1063.8 	1059.8 	1059.0 	1058.6 	1058.0 	1059.7 	1061.4 	1062.6 	1063.5 
es51	6710.8 	6565.1 	6418.4 	6314.7 	6251.2 	6199.8 	6168.3 	6144.5 	6126.7 	6112.2 
es52	4459.3 	4341.8 	4223.2 	4118.2 	4041.6 	3988.3 	3954.6 	3935.2 	3922.3 	3910.9 
es53	944.9 	919.0 	889.6 	861.4 	836.2 	810.6 	788.4 	771.3 	759.1 	748.0 
es61	7611.7 	7502.8 	7406.5 	7332.0 	7272.6 	7222.3 	7189.4 	7162.6 	7137.4 	7112.6 
es62	1283.0 	1249.5 	1215.8 	1183.8 	1158.6 	1140.5 	1126.5 	1114.6 	1103.7 	1093.8 
es63	71.4 	71.4 	71.5 	71.5 	71.2 	71.0 	70.7 	70.4 	70.1 	69.8 
es64	67.0 	66.8 	66.6 	66.2 	65.4 	64.6 	63.7 	62.9 	62.0 	61.1 
es70	1886.8 	1844.1 	1801.3 	1756.7 	1706.5 	1660.9 	1628.2 	1600.4 	1577.5 	1558.9 
fr	62444.7 	61932.5 	61530.2 	61120.2 	60714.0 	60296.7 	60047.3 	: 	59673.8 	59463.4 
fr10	11359.6 	11258.5 	11190.1 	11118.3 	11045.8 	10962.4 	10929.4 s	10904.7 	10890.3 	10872.0 
fr21	1338.2 	1337.0 	1337.6 	1338.3 	1340.4 	1342.9 	1344.8 s	1347.2 	1348.6 	1349.6 
fr22	1879.0 	1874.4 	1872.2 	1868.7 	1865.1 	1860.4 	1857.2 s	1856.0 	1853.8 	1849.2 
