indic_na,currency,geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
pl34	3024.5 	2830.7 	3182.3 	3308.2 	2725.4 	2255.7 	2243.8 	2052.9 	1802.1 	1547.1 
pl41	3730.0 	3508.2 	3889.0 	4084.7 	3448.5 	2880.3 	2789.3 	2481.7 	2174.8 	1886.1 
pl42	3598.2 	3460.3 	3909.7 	4042.3 	3478.2 	2892.6 	2793.9 	2574.2 	2301.1 	1992.6 
pl43	3240.5 	3077.4 	3482.1 	3622.2 	3106.3 	2689.4 	2649.9 	2447.2 	2162.1 	1912.0 
pl51	3605.7 	3525.9 	4003.1 	4095.8 	3461.0 	2825.5 	2756.9 	2516.1 	2243.4 	1933.6 
pl52	2947.3 	2795.4 	3114.1 	3183.1 	2708.6 	2334.7 	2490.6 	2274.7 	2022.3 	1772.2 
pl61	3343.2 	3167.0 	3595.5 	3679.2 	3079.0 	2597.1 	2612.4 	2348.3 	2090.0 	1833.9 
pl62	3010.7 	2854.6 	3129.5 	3244.6 	2834.2 	2373.8 	2168.8 	1977.6 	1739.9 	1508.6 
pl63	3341.9 	3216.3 	3629.8 	3766.1 	3162.0 	2715.7 	2699.9 	2454.8 	2174.1 	1870.9 
pt11	: 	7237.4 i	7031.0 i	6885.5 i	6539.3 i	5627.5 	5262.3 	5034.8 	4984.7 	4713.1 
pt15	: 	9271.5 i	8764.7 i	8642.3 i	8039.6 i	6806.8 	6395.2 	6106.0 	5953.5 	5834.6 
pt16	: 	7911.5 i	7551.2 i	7426.8 i	7071.8 i	5901.8 	5463.6 	5163.4 	5123.2 	4935.4 
pt17	: 	10950.6 i	10625.6 i	10106.5 i	9646.7 i	8729.1 	8307.1 	7676.4 	7326.7 	7108.4 
pt18	: 	8252.5 i	7893.1 i	7376.0 i	7192.9 i	5583.6 	5427.3 	5192.2 	4998.4 	4750.5 
pt20	: 	7539.8 i	7889.3 i	7644.3 i	6604.3 i	5374.1 	4991.2 	4647.7 	4595.0 	4238.6 
pt30	: 	8350.8 i	8691.9 i	7931.3 i	6959.0 i	6152.0 	5798.1 	5682.8 	5343.1 	5343.9 
ro11	1752.8 	1380.7 	1459.7 	1309.4 	1233.3 	1008.2 	1003.0 	: 	: 	: 
ro12	1753.5 	1448.2 	1495.9 	1295.3 	1275.3 	1026.8 	1020.5 	: 	: 	: 
ro21	1436.3 	1057.5 	1163.7 	1060.8 	968.7 	805.4 	770.3 	: 	: 	: 
ro22	1750.0 	1275.6 	1347.5 	1236.1 	1177.4 	981.4 	982.3 	: 	: 	: 
ro31	1638.1 	1211.6 	1264.3 	1180.2 	1034.6 	873.7 	906.3 	: 	: 	: 
ro32	2500.8 	2152.1 	2223.9 	1976.0 	1983.8 	1294.6 	1330.1 	: 	: 	: 
ro41	1684.0 	1249.6 	1260.2 	1281.6 	1145.8 	947.2 	889.2 	: 	: 	: 
ro42	2022.7 	1657.1 	1664.2 	1587.2 	1400.5 	1164.9 	1147.1 	: 	: 	: 
sk01	5634.1 	4768.9 	4352.4 	3905.5 	3582.7 	3114.2 	3117.0 	2848.3 	2407.1 	2090.2 
sk02	3528.2 	3068.6 	2801.8 	2504.4 	2302.7 	2004.1 	2086.0 	1961.9 	1716.3 	1496.1 
sk03	3248.6 	2919.1 	2640.0 	2424.4 	2263.3 	1977.8 	2017.9 	1879.3 	1617.2 	1420.9 
sk04	3033.7 	2728.6 	2467.6 	2303.3 	2173.9 	1929.7 	1995.7 	1877.9 	1618.2 	1408.4 
fi13	13230.7 	12602.6 	11989.4 	11397.3 	10759.0 	10427.2 	10017.5 	9840.0 	9441.8 	9675.3 
fi18	15539.0 	14877.0 	14114.9 	13485.3 	12623.3 	12197.9 	11336.9 	10954.4 	10353.6 	10546.6 
fi19	13880.2 	13236.7 	12638.4 	12052.0 	11360.8 	10970.8 	10551.9 	10235.2 	9719.9 	9938.9 
fi1a	13013.1 	12449.2 	11785.9 	11227.5 	10595.6 	10325.2 	9784.6 	9590.2 	9168.9 	9303.7 
fi20	18237.8 	17859.9 	17012.4 	16095.7 	15212.5 	14547.4 	13457.5 	13167.1 	12225.1 	12869.1 
se01	18147.8 i	18057.1 i	17761.7 i	16904.7 i	16779.3 i	15178.2 i	14490.6 i	14609.6 i	14584.6 i	13187.6 i
se02	15350.6 i	14827.8 i	14585.0 i	13713.0 i	14004.2 i	12598.9 i	12000.5 i	11969.4 i	12051.1 i	11019.9 i
se04	15518.9 i	15214.4 i	14744.5 i	13920.7 i	14122.9 i	12845.4 i	12294.3 i	12364.2 i	12401.6 i	11388.9 i
se06	14495.8 i	14161.4 i	13530.2 i	12725.2 i	13129.0 i	11995.7 i	11376.6 i	11500.0 i	11629.0 i	10694.5 i
se07	15202.5 i	14696.0 i	14299.6 i	13384.8 i	13700.1 i	12479.6 i	11603.3 i	11945.3 i	12004.4 i	11002.0 i
se08	14193.6 i	13695.3 i	13290.8 i	12491.8 i	12792.6 i	11738.8 i	11200.7 i	11308.3 i	11355.1 i	10484.7 i
se09	14782.1 i	14578.9 i	13930.1 i	13200.7 i	13435.7 i	12174.9 i	11607.6 i	11595.4 i	11881.0 i	10840.6 i
se0a	15538.3 i	15412.2 i	14740.4 i	13882.2 i	14085.4 i	12913.2 i	12249.3 i	12327.9 i	12376.7 i	11321.7 i
ukc1	15074.5 ei	14270.8 ei	15112.8 ei	14932.6 ei	14409.9 ei	12647.9 ei	11969.0 ei	11507.9 ei	9292.0 ei	8797.8 ei
ukc2	15224.3 ei	14629.0 ei	15438.7 ei	15178.4 ei	14455.8 ei	12886.4 ei	12282.5 ei	11621.8 ei	9250.5 ei	8720.3 ei
ukd1	17037.5 ei	16084.4 ei	16919.8 ei	16748.8 ei	15487.7 ei	14278.2 ei	13377.1 ei	12439.0 ei	10140.8 ei	9489.7 ei
ukd2	18630.1 ei	17633.1 ei	18409.0 ei	17622.1 ei	17332.2 ei	15709.0 ei	14368.3 ei	13692.4 ei	10760.8 ei	9801.0 ei
ukd3	15799.2 ei	15177.6 ei	16157.6 ei	15911.6 ei	15715.6 ei	13567.8 ei	12630.3 ei	11949.1 ei	9636.9 ei	8984.0 ei
ukd4	15643.3 ei	14825.8 ei	15758.8 ei	15631.6 ei	14955.9 ei	13238.1 ei	12591.4 ei	11953.3 ei	9649.2 ei	8944.6 ei
ukd5	15786.5 ei	14991.5 ei	15864.4 ei	15499.6 ei	15043.3 ei	13308.1 ei	12542.3 ei	11801.0 ei	9581.3 ei	9172.0 ei
uke1	16045.5 ei	15193.7 ei	15807.6 ei	15377.7 ei	15028.0 ei	13448.6 ei	12794.9 ei	11909.9 ei	9804.6 ei	8936.5 ei
uke2	18339.6 ei	17559.8 ei	18594.2 ei	17986.6 ei	17430.1 ei	16431.0 ei	15072.6 ei	13992.9 ei	11569.7 ei	10800.3 ei
uke3	15630.7 ei	14893.7 ei	15614.9 ei	15385.9 ei	14716.7 ei	12816.2 ei	12107.2 ei	11321.4 ei	9182.1 ei	8483.6 ei
uke4	16066.9 ei	15310.8 ei	16133.8 ei	15874.1 ei	15493.8 ei	13500.2 ei	12827.2 ei	12017.3 ei	9729.7 ei	8880.7 ei
ukf1	16351.7 ei	15556.5 ei	16115.0 ei	15694.0 ei	14914.5 ei	13361.2 ei	12483.8 ei	11690.2 ei	9574.2 ei	8714.9 ei
ukf2	17337.0 ei	16499.3 ei	17058.8 ei	16713.0 ei	16052.2 ei	14303.7 ei	13485.5 ei	12951.0 ei	10350.3 ei	9448.0 ei
ukf3	16730.9 ei	15976.4 ei	16568.4 ei	16160.2 ei	15672.3 ei	14156.0 ei	13406.8 ei	12711.4 ei	10561.8 ei	9982.0 ei
ukg1	18236.3 ei	17354.8 ei	18350.5 ei	17947.9 ei	16965.1 ei	15363.4 ei	14330.4 ei	13327.7 ei	10969.0 ei	10298.1 ei
ukg2	16521.3 ei	15774.0 ei	16481.2 ei	16171.7 ei	15491.2 ei	14052.3 ei	13153.0 ei	12222.3 ei	10038.5 ei	9353.6 ei
ukg3	15132.3 ei	14453.2 ei	15410.6 ei	15160.4 ei	14717.6 ei	12873.8 ei	12135.9 ei	11301.2 ei	9227.6 ei	8698.5 ei
ukh1	17684.5 ei	17053.0 ei	18003.5 ei	17686.9 ei	16784.0 ei	14749.0 ei	13794.7 ei	13118.9 ei	10647.0 ei	9920.4 ei
ukh2	20320.6 ei	20019.3 ei	21375.5 ei	20853.9 ei	19737.1 ei	17029.9 ei	16235.4 ei	15351.1 ei	12252.4 ei	11422.4 ei
ukh3	19569.5 ei	18801.8 ei	19957.7 ei	19557.9 ei	18394.2 ei	16345.8 ei	15219.7 ei	14413.0 ei	11380.3 ei	10476.5 ei
uki1	23382.8 ei	22423.4 ei	23661.9 ei	24459.5 ei	24696.8 ei	20177.2 ei	18348.2 ei	17236.0 ei	13709.1 ei	12466.0 ei
uki2	20174.6 ei	19494.1 ei	20405.9 ei	20428.6 ei	19677.6 ei	17177.5 ei	16119.9 ei	15126.6 ei	12143.0 ei	11352.9 ei
ukj1	20892.4 ei	20189.2 ei	21596.5 ei	21368.6 ei	20712.9 ei	17893.3 ei	16976.9 ei	15982.9 ei	12428.5 ei	11267.3 ei
ukj2	21224.3 ei	20744.8 ei	22299.8 ei	22088.9 ei	20923.3 ei	18593.3 ei	17414.2 ei	16255.3 ei	12517.7 ei	11430.9 ei
ukj3	18407.5 ei	17819.1 ei	19010.7 ei	18722.2 ei	17708.2 ei	15668.2 ei	14736.1 ei	13861.0 ei	10939.2 ei	10264.7 ei
ukj4	18687.0 ei	17636.8 ei	18994.0 ei	18629.8 ei	17505.2 ei	15420.4 ei	14487.9 ei	13729.0 ei	10786.9 ei	9995.5 ei
ukk1	18396.4 ei	17677.5 ei	18656.9 ei	18410.3 ei	17687.2 ei	15608.8 ei	14631.6 ei	13820.3 ei	11008.8 ei	10448.1 ei
ukk2	18102.9 ei	17354.2 ei	18177.6 ei	17956.4 ei	17008.7 ei	15333.0 ei	14262.2 ei	13455.3 ei	10710.3 ei	10009.5 ei
ukk3	16072.9 ei	15337.5 ei	16219.9 ei	15778.7 ei	14671.5 ei	13197.2 ei	12521.8 ei	11856.2 ei	9635.2 ei	9053.4 ei
ukk4	16812.7 ei	16010.5 ei	16812.4 ei	16526.7 ei	15752.6 ei	14092.7 ei	13334.2 ei	12652.0 ei	10186.7 ei	9713.8 ei
ukl1	15473.7 ei	14636.4 ei	15411.3 ei	15014.3 ei	14281.6 ei	12777.3 ei	12067.4 ei	11467.4 ei	9390.4 ei	8883.4 ei
ukl2	16372.2 ei	15598.7 ei	16537.7 ei	15989.4 ei	15300.4 ei	13279.7 ei	12348.8 ei	11841.8 ei	9771.6 ei	9370.4 ei
ukm1	17618.8 ei	16616.9 ei	17775.7 ei	17338.0 ei	16277.5 ei	14734.0 ei	14615.4 ei	13833.4 ei	10967.8 ei	10074.5 ei
ukm2	17477.4 ei	16589.6 ei	17538.6 ei	17080.2 ei	16206.2 ei	14644.0 ei	13779.4 ei	12963.6 ei	10553.3 ei	9969.6 ei
ukm3	16222.4 ei	15452.2 ei	16484.2 ei	16068.4 ei	15402.3 ei	13479.1 ei	12737.5 ei	12044.3 ei	9788.1 ei	9327.0 ei
ukm4	15777.6 ei	14993.6 ei	15875.5 ei	15285.3 ei	14412.4 ei	13262.1 ei	12721.5 ei	12043.7 ei	9953.1 ei	9392.8 ei
ukn0	15271.1 ei	14690.2 ei	15375.4 ei	14837.2 ei	14507.7 ei	12822.6 ei	12137.7 ei	11485.0 ei	9228.6 ei	8923.4 ei
